Fragment_length	Missing_sites	CCGG-CCGG	CCGG-GCGC	GCGC-GCGC	Sum
1	0	0	18854	0	18854
2	0	0	37368	0	37368
3	0	0	4847	0	4847
4	0	10778	5697	11178	27653
5	0	8616	25140	7691	41447
6	0	10138	44137	7256	61531
7	0	7941	10024	5464	23429
8	0	6458	14024	6724	27206
9	0	6644	10237	5113	21994
10	0	5810	16877	4094	26781
11	0	5199	11548	4544	21291
12	0	6062	14769	10739	31570
13	0	6144	11033	4023	21200
14	0	5116	36178	4185	45479
15	0	5421	9576	3991	18988
16	0	6501	11174	4307	21982
17	0	12901	9789	3666	26356
18	0	6185	29680	4785	40650
19	0	5897	9012	3713	18622
20	0	4955	8118	4070	17143
21	0	5039	7928	3601	16568
22	0	4757	8920	3437	17114
23	0	5120	8615	3070	16805
24	0	6476	6452	3240	16168
25	0	4525	7488	3234	15247
26	0	4239	7010	2844	14093
27	0	4527	7037	5421	16985
28	0	6130	6607	3045	15782
29	0	4799	7902	2662	15363
30	0	4934	27196	2765	34895
31	0	7931	6861	2632	17424
32	0	8649	6322	2655	17626
33	0	5183	7854	2436	15473
34	0	4385	26688	2310	33383
35	0	4153	5896	2336	12385
36	0	4717	5502	2336	12555
37	0	8892	5594	3069	17555
38	0	3983	5692	2081	11756
39	0	3883	5070	2301	11254
40	0	8199	4843	2326	15368
41	0	4190	4544	3408	12142
42	0	3588	5357	2102	11047
43	0	3164	4942	1768	9874
44	0	4039	4823	2160	11022
45	0	4540	4677	1893	11110
46	0	3591	4167	1898	9656
47	0	3303	4437	1815	9555
48	0	4069	4806	1902	10777
49	0	8603	5454	1795	15852
50	0	6346	25133	1886	33365
51	0	3610	5280	1560	10450
52	0	3618	5194	1609	10421
53	0	3363	5680	1341	10384
54	0	3599	30093	1405	35097
55	0	3375	4892	1267	9534
56	0	3013	4497	1398	8908
57	0	2990	3954	1294	8238
58	0	2756	8163	1360	12279
59	0	3611	3744	1434	8789
60	0	2821	3795	1315	7931
61	0	2809	4184	1376	8369
62	0	2529	4760	1269	8558
63	0	2554	3798	1188	7540
64	0	2540	3888	1187	7615
65	0	2958	4005	1098	8061
66	0	4317	4295	1208	9820
67	0	5506	3577	1051	10134
68	0	25118	3400	1261	29779
69	0	3925	2768	1108	7801
70	0	2560	3037	1007	6604
71	0	2297	3038	983	6318
72	0	2372	2749	1071	6192
73	0	2266	2791	1064	6121
74	0	2291	3089	1017	6397
75	0	2328	2706	1087	6121
76	0	2331	2980	999	6310
