Fragment_length	Missing_sites	GCGC-GCGC	Sum
4	0	11178	11178
5	0	7691	7691
6	0	7945	7945
7	0	6075	6075
8	0	7028	7028
9	0	5608	5608
10	0	4587	4587
11	0	5113	5113
12	0	11470	11470
13	0	4779	4779
14	0	4967	4967
15	0	4860	4860
16	0	5178	5178
17	0	4582	4582
18	0	5918	5918
19	0	4664	4664
20	0	5131	5131
21	0	4869	4869
22	0	4475	4475
23	0	4308	4308
24	0	4407	4407
25	0	4278	4278
26	0	4014	4014
27	0	7299	7299
28	0	4472	4472
29	0	3925	3925
30	0	4014	4014
31	0	3800	3800
32	0	4006	4006
33	0	3751	3751
34	0	3597	3597
35	0	3615	3615
36	0	3625	3625
37	0	4810	4810
38	0	3352	3352
39	0	3671	3671
40	0	3904	3904
41	0	4723	4723
42	0	3388	3388
43	0	2978	2978
44	0	3398	3398
45	0	3121	3121
46	0	3145	3145
47	0	2991	2991
48	0	3060	3060
49	0	2899	2899
50	0	3140	3140
51	0	2772	2772
52	0	2770	2770
53	0	2440	2440
54	0	2544	2544
55	0	2354	2354
56	0	2525	2525
57	0	2387	2387
58	0	2457	2457
59	0	2612	2612
60	0	2371	2371
61	0	2429	2429
62	0	2341	2341
63	0	2238	2238
64	0	2120	2120
65	0	2100	2100
66	0	2229	2229
67	0	2011	2011
68	0	2233	2233
69	0	2176	2176
70	0	2029	2029
71	0	1989	1989
72	0	2060	2060
73	0	2034	2034
74	0	2055	2055
75	0	2033	2033
76	0	1982	1982
77	0	2067	2067
78	0	2129	2129
79	0	2905	2905
80	0	1910	1910
81	0	2078	2078
82	0	2015	2015
83	0	3638	3638
84	0	33163	33163
85	0	3423	3423
86	0	3127	3127
87	0	2484	2484
88	0	8795	8795
89	0	2738	2738
90	0	1908	1908
91	0	1803	1803
92	0	2437	2437
93	0	1632	1632
94	0	1775	1775
95	0	1682	1682
96	0	3085	3085
97	0	1607	1607
98	0	1846	1846
99	0	1710	1710
100	0	1470	1470
101	0	1408	1408
102	0	1498	1498
103	0	1436	1436
104	0	1478	1478
105	0	1377	1377
106	0	1393	1393
107	0	1477	1477
108	0	1431	1431
109	0	1259	1259
110	0	1257	1257
111	0	1319	1319
112	0	1307	1307
113	0	1333	1333
114	0	1496	1496
115	0	1420	1420
116	0	1759	1759
117	0	1290	1290
118	0	1388	1388
119	0	1479	1479
120	0	1668	1668
121	0	2674	2674
122	0	1611	1611
123	0	1326	1326
124	0	1324	1324
125	0	1363	1363
126	0	1381	1381
127	0	1596	1596
128	0	1295	1295
129	0	1401	1401
130	0	1604	1604
131	0	1512	1512
132	0	1452	1452
133	0	1791	1791
134	0	4511	4511
135	0	2197	2197
136	0	1803	1803
137	0	1702	1702
138	0	1508	1508
139	0	2173	2173
140	0	1663	1663
141	0	3301	3301
142	0	3788	3788
143	0	3990	3990
144	0	2866	2866
145	0	5818	5818
146	0	15325	15325
147	0	9191	9191
148	0	4829	4829
149	0	2983	2983
150	0	2314	2314
151	0	1695	1695
152	0	1613	1613
153	0	1524	1524
154	0	1379	1379
155	0	1318	1318
156	0	1334	1334
157	0	1390	1390
158	0	1183	1183
159	0	1184	1184
160	0	1272	1272
161	0	1455	1455
162	0	1156	1156
163	0	1102	1102
164	0	1125	1125
165	0	1070	1070
166	0	1164	1164
167	0	1086	1086
168	0	1113	1113
169	0	1042	1042
170	0	1104	1104
171	0	1397	1397
172	0	1070	1070
173	0	965	965
174	0	1003	1003
175	0	1058	1058
176	0	1172	1172
177	0	990	990
178	0	1042	1042
179	0	926	926
180	0	1018	1018
181	0	966	966
182	0	1005	1005
183	0	960	960
184	0	998	998
185	0	883	883
186	0	999	999
187	0	951	951
188	0	1010	1010
189	0	983	983
190	0	940	940
191	0	934	934
192	0	935	935
193	0	915	915
194	0	900	900
195	0	916	916
196	0	859	859
197	0	823	823
198	0	873	873
199	0	903	903
200	0	849	849
201	0	830	830
202	0	919	919
203	0	983	983
204	0	995	995
205	0	965	965
206	0	886	886
207	0	851	851
208	0	897	897
209	0	831	831
210	0	953	953
211	0	877	877
212	0	936	936
213	0	929	929
214	0	920	920
215	0	915	915
216	0	879	879
217	0	949	949
218	0	1000	1000
219	0	1082	1082
220	0	1029	1029
221	0	985	985
222	0	954	954
223	0	1015	1015
224	0	1018	1018
225	0	1105	1105
226	0	1132	1132
227	0	1225	1225
228	0	1568	1568
229	0	3086	3086
230	0	5479	5479
231	0	4343	4343
232	0	2315	2315
233	0	1725	1725
234	0	1308	1308
235	0	1121	1121
236	0	1105	1105
237	0	1199	1199
238	0	1143	1143
239	0	1049	1049
240	0	952	952
241	0	909	909
242	0	853	853
243	0	873	873
244	0	753	753
245	0	799	799
246	0	814	814
247	0	741	741
248	0	790	790
249	0	745	745
250	0	806	806
251	0	755	755
252	0	802	802
253	0	743	743
254	0	803	803
255	0	772	772
256	0	838	838
257	0	737	737
258	0	769	769
259	0	778	778
260	0	767	767
261	0	733	733
262	0	701	701
263	0	713	713
264	0	683	683
265	0	673	673
266	0	709	709
267	0	709	709
268	0	722	722
269	0	617	617
270	0	747	747
271	0	729	729
272	0	699	699
273	0	705	705
274	0	682	682
275	0	714	714
276	0	699	699
277	0	680	680
278	0	673	673
279	0	732	732
280	0	737	737
281	0	716	716
282	0	732	732
283	0	741	741
284	0	736	736
285	0	707	707
286	0	716	716
287	0	808	808
288	0	857	857
289	0	751	751
290	0	736	736
291	0	729	729
292	0	736	736
293	0	712	712
294	0	732	732
295	0	766	766
296	0	710	710
297	0	710	710
298	0	688	688
299	0	793	793
300	0	757	757
301	0	727	727
302	0	726	726
303	0	709	709
304	0	719	719
305	0	724	724
306	0	739	739
307	0	773	773
308	0	739	739
309	0	747	747
310	0	758	758
311	0	702	702
312	0	711	711
313	0	694	694
314	0	692	692
315	0	731	731
316	0	750	750
317	0	725	725
318	0	690	690
319	0	700	700
320	0	639	639
321	0	660	660
322	0	680	680
323	0	724	724
324	0	669	669
325	0	716	716
326	0	668	668
327	0	707	707
328	0	658	658
329	0	697	697
330	0	608	608
331	0	603	603
332	0	674	674
333	0	647	647
334	0	679	679
335	0	642	642
336	0	635	635
337	0	707	707
338	0	661	661
339	0	667	667
340	0	719	719
341	0	760	760
342	0	783	783
343	0	626	626
