Fragment_length	Missing_sites	CCGG-CCGG	Sum
4	0	10778	10778
5	0	8616	8616
6	0	10967	10967
7	0	8486	8486
8	0	6860	6860
9	0	7106	7106
10	0	6348	6348
11	0	5717	5717
12	0	6701	6701
13	0	6817	6817
14	0	5944	5944
15	0	6203	6203
16	0	7290	7290
17	0	13835	13835
18	0	7238	7238
19	0	7136	7136
20	0	5985	5985
21	0	6156	6156
22	0	5758	5758
23	0	6581	6581
24	0	10107	10107
25	0	5747	5747
26	0	5544	5544
27	0	5821	5821
28	0	8163	8163
29	0	6126	6126
30	0	6161	6161
31	0	9244	9244
32	0	9954	9954
33	0	6506	6506
34	0	5695	5695
35	0	5450	5450
36	0	6381	6381
37	0	12179	12179
38	0	5757	5757
39	0	5431	5431
40	0	10113	10113
41	0	6096	6096
42	0	4956	4956
43	0	4442	4442
44	0	5578	5578
45	0	6539	6539
46	0	4894	4894
47	0	4556	4556
48	0	5462	5462
49	0	10096	10096
50	0	8547	8547
51	0	5251	5251
52	0	6879	6879
53	0	4650	4650
54	0	4946	4946
55	0	4992	4992
56	0	4302	4302
57	0	4420	4420
58	0	4005	4005
59	0	4819	4819
60	0	4063	4063
61	0	4353	4353
62	0	3731	3731
63	0	3749	3749
64	0	3618	3618
65	0	4280	4280
66	0	5670	5670
67	0	8348	8348
68	0	49066	49066
69	0	6153	6153
70	0	3854	3854
71	0	3469	3469
72	0	3551	3551
73	0	3402	3402
74	0	3469	3469
75	0	3537	3537
76	0	4268	4268
77	0	4035	4035
78	0	3441	3441
79	0	3412	3412
80	0	3928	3928
81	0	3185	3185
82	0	3601	3601
83	0	3040	3040
84	0	3596	3596
85	0	6607	6607
86	0	3408	3408
87	0	3608	3608
88	0	2748	2748
89	0	3086	3086
90	0	3233	3233
91	0	2899	2899
92	0	3211	3211
93	0	2728	2728
94	0	2785	2785
95	0	2728	2728
96	0	2865	2865
97	0	3183	3183
98	0	2878	2878
99	0	2777	2777
100	0	2662	2662
101	0	2573	2573
102	0	2582	2582
103	0	2748	2748
104	1	2942	2943
105	0	2923	2923
106	0	3065	3065
107	0	2858	2858
108	0	2825	2825
109	0	2512	2512
110	0	2442	2442
111	0	2601	2601
112	0	2456	2456
113	0	3079	3079
114	0	2492	2492
115	0	2638	2638
116	1	4200	4201
117	0	3570	3570
118	0	3365	3365
119	0	2473	2473
120	0	2634	2634
121	0	2572	2572
122	0	2844	2844
123	0	2393	2393
124	0	2411	2411
125	0	2361	2361
126	0	2563	2563
127	0	2485	2485
128	0	2486	2486
129	0	2512	2512
130	0	2480	2480
131	0	2725	2725
132	0	3308	3308
133	0	7594	7594
134	0	19726	19726
135	0	13523	13523
136	0	6666	6666
137	0	4729	4729
138	0	3887	3887
139	0	3244	3244
140	0	2784	2784
141	0	2583	2583
142	0	2467	2467
143	0	3405	3405
144	0	2361	2361
145	0	2252	2252
146	0	2061	2061
147	0	2213	2213
148	0	2190	2190
149	0	2102	2102
150	0	2231	2231
151	0	2111	2111
152	0	2204	2204
153	0	2314	2314
154	0	2128	2128
155	0	2043	2043
156	0	2121	2121
157	0	2032	2032
158	0	2107	2107
159	0	1962	1962
160	0	1978	1978
161	0	1893	1893
162	0	2096	2096
163	0	2094	2094
164	0	1959	1959
165	0	2033	2033
166	0	1962	1962
167	0	1960	1960
168	0	2006	2006
169	0	2050	2050
170	0	2288	2288
171	0	2499	2499
172	0	2260	2260
173	0	2000	2000
174	0	2028	2028
175	0	2167	2167
176	0	2019	2019
177	0	2331	2331
178	0	1914	1914
179	0	1761	1761
180	0	1833	1833
181	0	1831	1831
182	0	1905	1905
183	0	1928	1928
184	0	1915	1915
185	0	1846	1846
186	0	1826	1826
187	0	1858	1858
188	0	1746	1746
189	0	1856	1856
190	0	2030	2030
191	0	1944	1944
192	0	1990	1990
193	0	1898	1898
194	0	1761	1761
195	0	1863	1863
196	0	1933	1933
197	0	1973	1973
198	0	2008	2008
199	0	2287	2287
200	0	3048	3048
201	0	6322	6322
202	0	9919	9919
203	0	8960	8960
204	0	4381	4381
205	0	3188	3188
206	0	2752	2752
207	0	2394	2394
208	0	2019	2019
209	0	1939	1939
210	0	1925	1925
211	0	1931	1931
212	0	1699	1699
213	0	1711	1711
214	0	1680	1680
215	0	1591	1591
216	0	1621	1621
217	0	1529	1529
218	0	1562	1562
219	0	1576	1576
220	0	1609	1609
221	0	1512	1512
222	0	1580	1580
223	0	1446	1446
224	0	1536	1536
225	0	1519	1519
226	0	1584	1584
227	0	1516	1516
228	0	1537	1537
229	0	1550	1550
230	0	1504	1504
231	0	1641	1641
232	0	1617	1617
233	0	1608	1608
234	0	1532	1532
235	0	1404	1404
236	0	1519	1519
237	0	1528	1528
238	0	1558	1558
239	0	1650	1650
240	0	1569	1569
241	0	1566	1566
242	0	1515	1515
243	0	1452	1452
244	0	1428	1428
245	0	1403	1403
246	0	1508	1508
247	0	1558	1558
248	0	1656	1656
249	0	1471	1471
250	0	1659	1659
251	0	1635	1635
252	0	1726	1726
253	0	1659	1659
254	0	1491	1491
255	0	1487	1487
256	0	1419	1419
257	0	1441	1441
258	0	1441	1441
259	0	1512	1512
260	0	1379	1379
261	0	1341	1341
262	0	1372	1372
263	0	1436	1436
264	0	1380	1380
265	0	1298	1298
266	0	1368	1368
267	0	1368	1368
268	0	1325	1325
269	0	1376	1376
270	0	1411	1411
271	0	1311	1311
272	0	1360	1360
273	0	1287	1287
274	0	1316	1316
275	0	1259	1259
276	0	1269	1269
277	0	1289	1289
278	0	1328	1328
279	0	1423	1423
280	0	1305	1305
281	0	1391	1391
282	0	1347	1347
283	0	1251	1251
284	0	1235	1235
285	0	1403	1403
286	0	1339	1339
287	0	1284	1284
288	0	1286	1286
289	0	1450	1450
290	0	1278	1278
291	0	1286	1286
292	0	1282	1282
293	0	1273	1273
294	0	1271	1271
295	0	1294	1294
296	0	1351	1351
297	0	1285	1285
298	0	1336	1336
299	0	1259	1259
300	0	1369	1369
301	0	1377	1377
302	0	1270	1270
303	0	1337	1337
304	0	1317	1317
305	0	1264	1264
306	0	1423	1423
307	0	1362	1362
308	0	1349	1349
309	0	1265	1265
310	0	1202	1202
311	0	1315	1315
312	0	1293	1293
313	0	1217	1217
314	0	1300	1300
315	0	1397	1397
316	0	1261	1261
317	0	1190	1190
318	0	1259	1259
319	0	1218	1218
320	0	1254	1254
321	0	1214	1214
322	0	1142	1142
323	0	1252	1252
324	0	1292	1292
325	0	1196	1196
326	0	1195	1195
327	0	1191	1191
328	0	1196	1196
329	0	1198	1198
330	0	1261	1261
331	0	1167	1167
332	0	1138	1138
333	0	1239	1239
334	0	1197	1197
335	0	1177	1177
336	0	1223	1223
337	0	1174	1174
338	0	1143	1143
339	0	1195	1195
340	0	1171	1171
341	0	1228	1228
342	0	1190	1190
343	0	1242	1242
344	0	1211	1211
345	0	1187	1187
346	0	1140	1140
347	0	1063	1063
348	0	1121	1121
349	0	1175	1175
350	0	1139	1139
351	0	1094	1094
352	0	1113	1113
353	0	1045	1045
354	0	1132	1132
355	0	1129	1129
356	0	1117	1117
357	0	1113	1113
358	0	1132	1132
359	0	1114	1114
360	0	1114	1114
361	0	1087	1087
362	0	1138	1138
363	0	1102	1102
364	0	1105	1105
365	0	1138	1138
366	0	1119	1119
367	0	1207	1207
368	0	1098	1098
369	0	1106	1106
370	0	1148	1148
371	0	1115	1115
372	0	1156	1156
373	0	1151	1151
374	0	1122	1122
375	0	1118	1118
376	0	1106	1106
377	0	1115	1115
378	0	1123	1123
379	0	1115	1115
380	0	1164	1164
381	0	1235	1235
382	0	1177	1177
383	0	1117	1117
384	0	1048	1048
385	0	1041	1041
386	0	1066	1066
387	0	1102	1102
388	0	1109	1109
389	0	1103	1103
390	0	1063	1063
391	0	1030	1030
392	0	1071	1071
393	0	1045	1045
394	0	1088	1088
395	0	1062	1062
396	0	1048	1048
397	0	1085	1085
398	0	1038	1038
399	0	1055	1055
400	0	1038	1038
401	0	996	996
402	0	995	995
403	0	1043	1043
404	0	1063	1063
405	0	1063	1063
406	0	1096	1096
407	0	1055	1055
408	0	1005	1005
409	0	1034	1034
410	0	1023	1023
411	0	1013	1013
412	0	1047	1047
413	0	978	978
414	0	1040	1040
415	0	1041	1041
416	0	1018	1018
417	0	994	994
418	0	959	959
419	0	1005	1005
420	0	1031	1031
421	0	992	992
422	0	987	987
423	0	1017	1017
424	0	967	967
425	0	1005	1005
426	0	1020	1020
427	0	994	994
428	0	1028	1028
429	0	977	977
430	0	1018	1018
431	0	981	981
432	0	933	933
433	0	969	969
434	0	1051	1051
435	0	1004	1004
436	0	1040	1040
437	0	1022	1022
438	0	991	991
439	0	1015	1015
440	0	1044	1044
441	0	955	955
442	0	1014	1014
443	0	959	959
444	0	998	998
445	0	957	957
446	0	972	972
447	0	1029	1029
448	0	1016	1016
449	0	1014	1014
450	0	957	957
451	0	957	957
452	0	970	970
453	0	899	899
454	0	953	953
455	0	957	957
456	0	980	980
457	0	939	939
458	0	864	864
459	0	920	920
460	0	891	891
461	0	907	907
462	0	968	968
463	0	912	912
464	0	909	909
465	0	947	947
466	0	946	946
467	0	899	899
468	0	951	951
469	0	936	936
470	0	938	938
471	0	962	962
472	0	950	950
473	0	902	902
474	0	989	989
475	0	895	895
476	0	941	941
477	0	931	931
478	0	921	921
479	0	916	916
480	0	956	956
481	0	862	862
482	0	898	898
483	0	969	969
484	0	890	890
485	0	900	900
486	0	944	944
487	0	880	880
488	0	907	907
489	0	872	872
490	0	903	903
491	0	860	860
492	0	907	907
493	0	890	890
494	0	973	973
495	0	909	909
496	0	884	884
497	0	881	881
498	0	911	911
499	0	885	885
500	0	919	919
501	0	870	870
502	0	904	904
503	0	865	865
504	0	858	858
505	0	905	905
506	0	910	910
507	0	858	858
508	0	864	864
509	0	825	825
510	0	859	859
511	0	847	847
512	0	912	912
513	0	868	868
514	0	903	903
515	0	857	857
516	0	811	811
517	0	883	883
518	0	837	837
519	0	836	836
520	0	841	841
521	0	840	840
522	0	838	838
523	0	862	862
524	0	845	845
525	0	843	843
526	0	871	871
527	0	824	824
