Fragment_length	Missing_sites	GCGC-GCGC	Sum
4	0	183	183
5	0	294	294
6	0	305	305
7	0	204	204
8	0	232	232
9	0	250	250
10	0	258	258
11	0	260	260
12	0	333	333
13	0	207	207
14	0	235	235
15	0	254	254
16	0	205	205
17	0	209	209
18	0	288	288
19	0	211	211
20	0	218	218
21	0	261	261
22	0	213	213
23	0	224	224
24	0	229	229
25	0	204	204
26	0	180	180
27	0	270	270
28	0	185	185
29	0	213	213
30	0	260	260
31	0	208	208
32	0	200	200
33	0	216	216
34	0	192	192
35	0	167	167
36	0	242	242
37	0	212	212
38	0	182	182
39	0	226	226
40	0	151	151
41	0	181	181
42	0	216	216
43	0	180	180
44	0	177	177
45	0	217	217
46	0	178	178
47	0	155	155
48	0	224	224
49	0	183	183
50	0	168	168
51	0	211	211
52	0	177	177
53	0	165	165
54	0	185	185
55	0	175	175
56	0	183	183
57	0	192	192
58	0	152	152
59	0	143	143
60	0	194	194
61	0	171	171
62	0	167	167
63	0	209	209
64	0	143	143
65	0	139	139
66	0	175	175
67	0	154	154
68	0	153	153
69	0	183	183
70	0	156	156
71	0	155	155
72	0	184	184
73	0	141	141
74	0	108	108
75	0	154	154
76	0	139	139
77	0	139	139
78	0	138	138
79	0	153	153
80	0	141	141
81	0	158	158
82	0	119	119
83	0	126	126
84	0	153	153
85	0	108	108
86	0	136	136
87	0	165	165
88	0	139	139
89	0	136	136
90	0	150	150
91	0	127	127
92	0	102	102
93	0	119	119
94	0	112	112
95	0	131	131
96	0	128	128
97	0	116	116
98	0	124	124
99	0	152	152
100	0	119	119
101	0	125	125
102	0	136	136
103	0	102	102
104	0	109	109
105	0	141	141
106	0	101	101
107	0	110	110
108	0	96	96
109	0	113	113
110	0	101	101
111	0	118	118
112	0	80	80
113	0	114	114
114	0	94	94
115	0	90	90
116	0	88	88
117	0	115	115
118	0	110	110
119	0	93	93
120	0	95	95
121	0	103	103
122	0	93	93
123	0	95	95
124	0	88	88
125	0	92	92
126	0	94	94
127	0	83	83
128	0	94	94
129	0	130	130
130	0	75	75
131	0	76	76
132	0	111	111
133	0	84	84
134	0	84	84
135	0	110	110
136	0	88	88
137	0	84	84
138	0	108	108
139	0	80	80
140	0	89	89
141	0	103	103
142	0	71	71
143	0	91	91
144	0	91	91
145	0	65	65
146	0	78	78
147	0	82	82
148	0	77	77
149	0	67	67
150	0	61	61
151	0	67	67
152	0	70	70
153	1	80	81
154	0	56	56
155	0	67	67
156	0	66	66
157	0	52	52
158	0	57	57
159	0	71	71
160	0	62	62
161	0	65	65
162	0	95	95
163	0	74	74
164	0	60	60
165	0	72	72
166	0	58	58
167	0	60	60
168	0	77	77
169	0	59	59
170	0	61	61
171	0	70	70
172	0	54	54
173	0	54	54
174	0	64	64
175	0	55	55
176	0	54	54
177	0	67	67
178	0	57	57
179	0	72	72
180	0	69	69
181	0	71	71
182	0	45	45
183	0	74	74
184	0	67	67
185	0	61	61
186	0	57	57
187	0	47	47
188	0	41	41
189	0	54	54
190	0	41	41
191	0	48	48
192	0	49	49
193	0	44	44
194	0	42	42
195	0	53	53
196	0	41	41
197	0	65	65
198	0	59	59
199	0	48	48
200	0	39	39
201	0	56	56
202	0	51	51
203	0	59	59
204	0	65	65
205	0	46	46
206	0	30	30
207	0	64	64
208	0	45	45
209	0	52	52
210	0	44	44
211	0	31	31
212	0	40	40
213	0	68	68
214	0	45	45
215	0	48	48
216	0	51	51
217	0	48	48
218	0	30	30
219	0	53	53
220	0	37	37
221	0	34	34
222	0	39	39
223	0	44	44
224	0	46	46
225	0	43	43
226	0	39	39
227	0	42	42
228	0	46	46
229	0	36	36
230	0	30	30
231	0	48	48
232	0	32	32
233	0	35	35
234	0	51	51
235	0	36	36
236	0	27	27
237	0	49	49
238	0	49	49
239	0	25	25
240	0	52	52
241	0	40	40
242	0	39	39
243	0	28	28
244	0	19	19
245	0	35	35
246	0	32	32
247	0	23	23
248	0	28	28
249	0	34	34
250	0	39	39
251	0	27	27
252	0	36	36
253	0	30	30
254	0	28	28
255	0	50	50
256	0	27	27
257	0	28	28
258	0	43	43
259	0	31	31
260	0	31	31
261	0	19	19
262	0	31	31
263	0	26	26
264	0	33	33
265	0	39	39
266	0	34	34
267	0	38	38
268	0	25	25
269	0	31	31
270	0	25	25
271	0	24	24
272	0	35	35
273	0	17	17
274	0	24	24
275	0	32	32
276	0	40	40
277	0	26	26
278	0	17	17
279	0	35	35
280	0	29	29
281	0	25	25
282	0	27	27
283	0	30	30
284	0	23	23
285	0	26	26
286	0	24	24
287	0	32	32
288	0	34	34
289	0	25	25
290	0	22	22
291	0	30	30
292	0	23	23
293	0	27	27
294	0	22	22
295	0	14	14
296	0	20	20
297	0	17	17
298	0	32	32
299	0	9	9
300	0	34	34
301	0	23	23
302	0	22	22
303	0	23	23
304	0	26	26
305	0	25	25
306	0	25	25
307	0	26	26
308	0	21	21
309	0	23	23
310	0	24	24
311	0	17	17
312	0	16	16
313	0	18	18
314	0	23	23
315	0	26	26
316	0	21	21
317	0	11	11
318	0	20	20
319	0	17	17
320	0	32	32
321	0	21	21
322	0	20	20
323	0	13	13
324	0	20	20
325	0	18	18
326	0	17	17
327	0	12	12
328	0	20	20
329	0	23	23
330	0	15	15
331	0	18	18
332	0	14	14
333	0	13	13
334	0	20	20
335	0	15	15
336	0	26	26
337	0	18	18
338	0	20	20
339	0	19	19
340	0	17	17
341	0	18	18
342	0	19	19
343	0	12	12
344	0	9	9
345	0	21	21
346	0	17	17
347	0	11	11
348	0	21	21
349	0	21	21
350	0	16	16
351	0	14	14
352	0	15	15
353	0	27	27
354	0	18	18
355	0	18	18
356	0	13	13
357	0	10	10
358	0	18	18
359	0	17	17
360	0	20	20
361	0	19	19
362	0	22	22
363	0	19	19
364	0	16	16
365	0	16	16
366	0	15	15
367	0	14	14
368	0	8	8
369	0	13	13
370	0	11	11
371	0	17	17
372	0	16	16
373	0	12	12
374	0	19	19
375	0	12	12
376	0	14	14
377	0	18	18
378	0	20	20
379	0	15	15
380	0	16	16
381	0	10	10
382	0	9	9
383	0	9	9
384	1	14	15
385	0	7	7
386	0	20	20
387	0	16	16
388	0	11	11
389	0	11	11
390	0	14	14
391	0	15	15
392	0	11	11
393	0	8	8
394	0	10	10
395	0	10	10
396	0	14	14
397	0	16	16
398	0	16	16
399	0	17	17
400	0	11	11
401	0	15	15
402	0	12	12
403	0	20	20
404	0	14	14
405	0	10	10
406	0	12	12
407	0	12	12
408	0	15	15
409	0	9	9
410	0	10	10
411	0	11	11
412	0	15	15
413	0	12	12
414	0	16	16
415	0	9	9
416	0	14	14
417	0	7	7
418	0	8	8
419	0	11	11
420	0	10	10
421	0	10	10
422	0	6	6
423	0	14	14
424	0	6	6
425	0	7	7
426	0	8	8
427	0	6	6
428	0	5	5
429	0	6	6
430	0	10	10
431	0	9	9
432	0	14	14
433	0	11	11
434	0	10	10
435	0	18	18
436	0	5	5
437	0	5	5
438	0	16	16
439	0	4	4
440	0	7	7
441	0	7	7
442	0	5	5
443	0	6	6
444	0	8	8
445	0	10	10
446	0	8	8
447	0	10	10
448	0	6	6
449	0	7	7
450	0	12	12
451	0	8	8
452	0	7	7
453	0	7	7
454	0	4	4
455	0	8	8
456	0	5	5
457	0	9	9
458	0	9	9
459	0	6	6
460	0	9	9
461	0	12	12
462	0	5	5
463	0	5	5
464	0	6	6
465	0	10	10
466	0	3	3
467	0	7	7
468	0	8	8
469	0	13	13
470	0	5	5
471	0	12	12
472	0	12	12
473	0	6	6
474	0	13	13
475	0	10	10
476	0	6	6
477	0	10	10
478	0	9	9
479	0	4	4
480	0	8	8
481	0	4	4
482	0	8	8
483	0	8	8
484	0	7	7
485	0	4	4
486	0	14	14
487	0	6	6
488	0	9	9
489	0	4	4
490	0	10	10
491	0	6	6
492	0	9	9
493	0	6	6
494	0	13	13
495	0	2	2
496	0	5	5
497	0	6	6
498	0	7	7
499	0	6	6
500	0	8	8
501	0	9	9
502	0	8	8
503	0	9	9
504	0	12	12
505	0	6	6
506	0	5	5
507	0	6	6
508	0	5	5
509	0	7	7
510	0	7	7
511	0	3	3
512	0	10	10
513	0	5	5
514	0	11	11
515	0	6	6
516	0	5	5
517	0	5	5
518	0	3	3
519	0	8	8
520	0	7	7
521	0	7	7
522	0	5	5
523	0	10	10
524	0	4	4
