Fragment_length	Missing_sites	CCGG-CCGG	Sum
4	0	18	18
5	0	66	66
6	0	174	174
7	0	91	91
8	0	122	122
9	0	190	190
10	0	99	99
11	0	123	123
12	0	230	230
13	0	122	122
14	0	107	107
15	0	178	178
16	0	119	119
17	0	94	94
18	0	185	185
19	0	98	98
20	0	106	106
21	0	146	146
22	0	88	88
23	0	93	93
24	0	362	362
25	0	127	127
26	0	105	105
27	0	170	170
28	0	101	101
29	0	92	92
30	0	189	189
31	0	114	114
32	0	75	75
33	0	151	151
34	0	91	91
35	0	86	86
36	0	169	169
37	0	108	108
38	0	112	112
39	0	159	159
40	0	77	77
41	0	90	90
42	0	174	174
43	0	96	96
44	0	95	95
45	0	133	133
46	0	88	88
47	0	82	82
48	0	176	176
49	0	82	82
50	0	99	99
51	0	154	154
52	0	88	88
53	0	82	82
54	0	155	155
55	0	86	86
56	0	101	101
57	0	162	162
58	0	98	98
59	0	79	79
60	0	121	121
61	0	99	99
62	0	73	73
63	0	163	163
64	0	88	88
65	0	61	61
66	0	135	135
67	0	66	66
68	0	93	93
69	0	117	117
70	0	53	53
71	0	83	83
72	0	143	143
73	0	72	72
74	0	83	83
75	0	107	107
76	0	86	86
77	0	69	69
78	0	109	109
79	0	82	82
80	0	78	78
81	0	134	134
82	0	73	73
83	0	75	75
84	0	113	113
85	0	52	52
86	0	69	69
87	0	108	108
88	0	76	76
89	0	62	62
90	0	120	120
91	0	62	62
92	0	81	81
93	0	106	106
94	0	63	63
95	0	64	64
96	0	113	113
97	0	77	77
98	0	67	67
99	0	112	112
100	0	59	59
101	0	71	71
102	0	113	113
103	0	72	72
104	0	71	71
105	0	104	104
106	0	71	71
107	0	75	75
108	0	114	114
109	0	59	59
110	0	79	79
111	0	94	94
112	0	61	61
113	0	73	73
114	0	91	91
115	0	66	66
116	0	59	59
117	0	88	88
118	0	59	59
119	0	47	47
120	0	100	100
121	0	45	45
122	0	58	58
123	0	86	86
124	0	60	60
125	0	59	59
126	0	92	92
127	0	47	47
128	0	50	50
129	0	75	75
130	0	44	44
131	0	54	54
132	0	79	79
133	0	40	40
134	0	59	59
135	0	79	79
136	0	40	40
137	0	51	51
138	0	81	81
139	0	48	48
140	0	37	37
141	0	66	66
142	0	46	46
143	0	41	41
144	0	84	84
145	0	53	53
146	0	46	46
147	0	89	89
148	0	41	41
149	0	55	55
150	0	82	82
151	0	34	34
152	0	50	50
153	0	88	88
154	0	53	53
155	0	50	50
156	0	69	69
157	0	36	36
158	0	47	47
159	0	78	78
160	0	45	45
161	0	44	44
162	0	84	84
163	0	39	39
164	0	43	43
165	0	45	45
166	0	45	45
167	0	45	45
168	0	68	68
169	0	30	30
170	0	41	41
171	0	77	77
172	0	44	44
173	0	45	45
174	0	68	68
175	0	33	33
176	0	42	42
177	0	62	62
178	0	41	41
179	0	29	29
180	0	70	70
181	0	34	34
182	0	36	36
183	0	46	46
184	0	25	25
185	0	47	47
186	0	74	74
187	0	47	47
188	0	40	40
189	0	56	56
190	0	32	32
191	0	34	34
192	0	60	60
193	0	38	38
194	0	41	41
195	0	54	54
196	0	34	34
197	0	33	33
198	0	56	56
199	0	24	24
200	0	43	43
201	0	53	53
202	0	35	35
203	0	33	33
204	0	55	55
205	0	30	30
206	0	42	42
207	0	44	44
208	0	27	27
209	0	43	43
210	0	57	57
211	0	30	30
212	0	38	38
213	0	50	50
214	0	25	25
215	0	33	33
216	0	57	57
217	0	41	41
218	0	33	33
219	0	55	55
220	0	24	24
221	0	29	29
222	0	47	47
223	0	35	35
224	0	39	39
225	0	58	58
226	0	36	36
227	1	33	34
228	0	51	51
229	0	25	25
230	0	36	36
231	0	47	47
232	0	35	35
233	0	29	29
234	0	36	36
235	0	23	23
236	0	32	32
237	0	40	40
238	0	33	33
239	0	29	29
240	0	40	40
241	0	26	26
242	0	25	25
243	0	49	49
244	0	17	17
245	0	26	26
246	0	36	36
247	0	19	19
248	0	34	34
249	0	39	39
250	0	28	28
251	0	31	31
252	0	45	45
253	0	36	36
254	0	20	20
255	0	43	43
256	0	35	35
257	0	25	25
258	0	35	35
259	0	28	28
260	0	27	27
261	0	33	33
262	0	21	21
263	0	16	16
264	0	35	35
265	0	23	23
266	0	25	25
267	0	35	35
268	0	35	35
269	0	25	25
270	0	40	40
271	0	22	22
272	0	19	19
273	0	44	44
274	0	23	23
275	0	24	24
276	0	31	31
277	0	22	22
278	0	30	30
279	0	32	32
280	0	33	33
281	0	25	25
282	0	38	38
283	0	19	19
284	0	19	19
285	0	22	22
286	0	23	23
287	0	20	20
288	0	23	23
